Case,Perturbation,Formulation,Merge,A_parameter,n,mean,std,median,max,cv,tail_ratio,cv_ge_5pct,tail_ge_2x
case2746wop,"(0.06, 1045)",Chordal_MFI,True,4.0,20,51.438229203259105,2.410133674217646,51.830561956972815,53.85401003505103,0.046854911445220214,1.0390396708366385,False,False
case2746wop,"(0.06, 1045)",Chordal_MFI,True,5.0,20,51.88982392238686,1.9832549022218298,52.12820760399336,54.10236532101408,0.03822049782223664,1.0378711988721723,False,False
case2746wop,"(0.07, 1709)",Chordal_AMD,False,0.0,20,95.05044841285562,9.096574078649853,94.20722613751423,108.03753717499784,0.09570258984090745,1.1468073268317605,True,False
case2746wop,"(0.07, 1709)",Chordal_AMD,True,2.0,20,181.500429886498,7.384702654726034,184.30272721103393,188.50539096992,0.04068697060025746,1.022803047043758,False,False
case2746wop,"(0.07, 1709)",Chordal_AMD,True,3.0,20,68.91275119750063,9.60490678873478,72.86472171748755,77.9729259100277,0.13937778744615173,1.070105313959007,True,False
case2746wop,"(0.07, 1709)",Chordal_AMD,True,4.0,20,64.8611220050254,7.962525728184275,67.62380160746397,73.55224283097778,0.12276268868070682,1.087667967233292,True,False
case2746wop,"(0.07, 1709)",Chordal_AMD,True,5.0,20,74.99438626724296,10.63625534671692,80.91435041098157,86.67744505708106,0.14182735370104316,1.0712246297081727,True,False
case2746wop,"(0.07, 1709)",Chordal_MD,False,0.0,20,90.95584465430002,17.03883628724106,102.17324286600342,104.72304437396816,0.18733085654914572,1.024955667809318,True,False
case2746wop,"(0.07, 1709)",Chordal_MD,True,2.0,20,172.23066285934766,38.42162205012231,196.1080529570172,201.0414729390177,0.22308235602332532,1.0251566414923399,True,False
case2746wop,"(0.07, 1709)",Chordal_MD,True,3.0,20,76.33135677894752,13.975910847575701,85.42891971798963,87.75216179096606,0.1830952761399141,1.0271950304492403,True,False
case2746wop,"(0.07, 1709)",Chordal_MD,True,4.0,20,81.41029499284923,5.900012141861865,81.96806617101538,86.92852282500826,0.07247255574224487,1.0605169413615732,True,False
case2746wop,"(0.07, 1709)",Chordal_MD,True,5.0,20,97.22363535229525,6.217224116029986,98.90261951700086,101.62643724802184,0.06394766142514142,1.0275404002879092,True,False
case2746wop,"(0.07, 1709)",Chordal_MFI,False,0.0,20,99.86873455124442,7.916975363733133,99.9964188199956,108.89537573303096,0.07927381276340087,1.0889927561211412,True,False
case2746wop,"(0.07, 1709)",Chordal_MFI,True,2.0,20,187.1899381105468,8.445463638835191,188.1648250130238,194.92061244498476,0.04511708120683091,1.0359035618452777,False,False
case2746wop,"(0.07, 1709)",Chordal_MFI,True,3.0,20,84.33902976904938,7.0836110284415525,84.17968979850411,93.27317323099123,0.08398971446362413,1.1080246726289162,True,False
case2746wop,"(0.07, 1709)",Chordal_MFI,True,4.0,20,78.70614246599726,7.198074544361324,78.12657160247909,89.83249378099572,0.09145505444471563,1.1498327897719396,True,False
case2746wop,"(0.07, 1709)",Chordal_MFI,True,5.0,20,94.91047989420477,8.785135032625073,93.49310895259259,106.66691224602982,0.09256232865346088,1.1409066768773006,True,False
